검색,순번,한자,품사,설명,링크
수학,1,(水學),명사, 물의 현상에 관하여 연구하는 학문.,https://stdict.korean.go.kr//search/searchView.do?word_no=198681&searchKeywordTo=3
수학,2,(受學),명사, 학문을 배우거나 수업을 받음.,https://stdict.korean.go.kr//search/searchView.do?word_no=198682&searchKeywordTo=3
수학,3,(修學),명사, 학문을 닦음.,https://stdict.korean.go.kr//search/searchView.do?word_no=198683&searchKeywordTo=3
수학,4,(粹學),명사, 순수한 학문.,https://stdict.korean.go.kr//search/searchView.do?word_no=198685&searchKeywordTo=3
수학,5,(數學),명사,『수학』 수량 및 공간의 성질에 관하여 연구하는 학문. 대수학 기하학 해석학 및 이를 응용하는 학문을 통틀어 이르는 말이다.,https://stdict.korean.go.kr//search/searchView.do?word_no=452991&searchKeywordTo=3
수학,6,(瘦鶴),명사, 여윈 학.,https://stdict.korean.go.kr//search/searchView.do?word_no=198961&searchKeywordTo=3
