검색,순번,한자,품사,설명,링크
소설,1,(小舌),명사, 하찮거나 쓸모없는 변설(辯舌).,https://stdict.korean.go.kr//search/searchView.do?word_no=190897&searchKeywordTo=3
소설,2,(小雪),명사, 이십사절기의 하나. 입동과 대설 사이에 들며 이때 태양의 황경(黃經)은 240도가 된다. 11월 22일이나 23일경이다.,https://stdict.korean.go.kr//search/searchView.do?word_no=443956&searchKeywordTo=3
소설,3,(小說),명사,『문학』 사실 또는 작가의 상상력에 바탕을 두고 허구적으로 이야기를 꾸며 나간 산문체의 문학 양식. 일정한 구조 속에서 배경과 등장인물의 행동 사상 심리 따위를 통하여 인간의 모습이나 사회상을 드러낸다. 분량에 따라 장편ㆍ중편ㆍ단편으로 내용에 따라 과학 소설ㆍ역사 소설ㆍ추리 소설 따위로 구분할 수 있으며 옛날의 설화나 서사시 따위의 전통을 이어받아 근대에 와서 발달한 문학 양식이다.≒이야기.,https://stdict.korean.go.kr//search/searchView.do?word_no=184185&searchKeywordTo=3
소설,4,(所說),명사, 설명하는 바.,https://stdict.korean.go.kr//search/searchView.do?word_no=443957&searchKeywordTo=3
소설,5,(昭雪),명사, 원통한 죄나 억울한 누명 따위를 밝혀 씻음.≒소석.,https://stdict.korean.go.kr//search/searchView.do?word_no=184186&searchKeywordTo=3
소설,6,(素雪),명사, 하얀 눈.=백설.,https://stdict.korean.go.kr//search/searchView.do?word_no=443958&searchKeywordTo=3
소설,7,(掃雪),명사, 쌓인 눈을 치움. 또는 그런 일.=제설.,https://stdict.korean.go.kr//search/searchView.do?word_no=190900&searchKeywordTo=3
소설,8,(疏泄),명사,『한의』 뭉쳐 있는 기운을 풀어서 소통시키는 기능.,https://stdict.korean.go.kr//search/searchView.do?word_no=443959&searchKeywordTo=3
소설,9,(騷說),명사, 시끄럽게 떠도는 소문.,https://stdict.korean.go.kr//search/searchView.do?word_no=190902&searchKeywordTo=3
