검색,순번,한자,품사,설명,링크
학원,1,(學員),명사, 공부하는 인원.,https://stdict.korean.go.kr//search/searchView.do?word_no=362856&searchKeywordTo=3
학원,2,(學院),명사,『교육』 일정한 목적ㆍ교과 과정ㆍ설비ㆍ제도 및 법규에 의하여 계속적으로 학생에게 교육을 실시하는 기관.=학교.,https://stdict.korean.go.kr//search/searchView.do?word_no=503671&searchKeywordTo=3
학원,3,(學園),명사,『교육』 학교 및 기타 교육 기관을 통틀어 이르는 말.,https://stdict.korean.go.kr//search/searchView.do?word_no=362857&searchKeywordTo=3
학원,4,(學園),명사,『문학』 1919년에 발간된 최초의 학생 잡지. 창가 소설 따위가 발표되어 소년ㆍ소녀들에게 처음으로 문학적인 분위기에 접하는 계기를 만들어 주었다.,https://stdict.korean.go.kr//search/searchView.do?word_no=362858&searchKeywordTo=3
